1,6,823,562,66,52,0.45,-1,-1,-1
1,5,505,147,29,35,0.48,-1,-1,-1
1,4,480,324,323,274,0.53,-1,-1,-1
1,3,839,604,119,60,0.68,-1,-1,-1
1,2,980,514,299,173,0.89,-1,-1,-1
1,1,864,334,99,192,0.91,-1,-1,-1
2,9,625,257,55,75,0.47,-1,-1,-1
2,8,909,618,121,58,0.80,-1,-1,-1
2,7,930,345,102,190,0.90,-1,-1,-1
2,2,1046,519,237,155,0.81,-1,-1,-1
3,9,637,258,57,76,0.42,-1,-1,-1
3,8,926,621,129,61,0.80,-1,-1,-1
3,7,947,344,107,199,0.89,-1,-1,-1
3,4,553,330,335,280,0.52,-1,-1,-1
3,2,1073,529,206,142,0.74,-1,-1,-1
4,2,1091,536,189,137,0.78,-1,-1,-1
5,8,947,636,130,60,0.74,-1,-1,-1
5,7,972,355,107,199,0.86,-1,-1,-1
5,2,1105,546,174,130,0.79,-1,-1,-1
6,8,952,640,127,59,0.70,-1,-1,-1
6,7,976,361,107,198,0.90,-1,-1,-1
6,2,1112,550,165,128,0.78,-1,-1,-1
7,10,600,179,27,32,0.62,-1,-1,-1
7,9,663,275,57,73,0.56,-1,-1,-1
7,8,959,644,128,58,0.64,-1,-1,-1
7,7,980,364,107,197,0.90,-1,-1,-1
7,4,579,352,339,280,0.43,-1,-1,-1
7,2,1116,552,160,127,0.75,-1,-1,-1
8,11,324,270,162,248,0.74,-1,-1,-1
8,10,608,184,28,33,0.60,-1,-1,-1
8,8,971,649,130,59,0.68,-1,-1,-1
8,7,992,368,108,198,0.90,-1,-1,-1
8,4,588,352,341,284,0.49,-1,-1,-1
8,2,1126,555,152,125,0.74,-1,-1,-1
9,13,503,247,103,197,0.55,-1,-1,-1
9,11,326,275,161,248,0.74,-1,-1,-1
9,10,610,188,28,33,0.65,-1,-1,-1
9,7,995,370,108,199,0.86,-1,-1,-1
9,4,588,356,342,286,0.47,-1,-1,-1
9,2,1130,559,148,127,0.79,-1,-1,-1
10,13,503,256,102,196,0.67,-1,-1,-1
10,11,326,280,161,247,0.68,-1,-1,-1
10,10,611,194,28,33,0.67,-1,-1,-1
10,7,996,376,107,200,0.89,-1,-1,-1
10,4,590,359,346,289,0.43,-1,-1,-1
10,2,1133,566,144,127,0.75,-1,-1,-1
